New WTP,31/1/2022,28/2/2022,31/3/2022,30/4/2022,31/5/2022,30/6/2022,31/7/2022,31/8/2022,30/9/2022,31/10/2022,30/11/2022,31/12/2022
Sungai Sireh,69.4,77.4,75.8,82.6,85.7,81.7,67.4,79.0,73.3,80.4,75.6,67.5
Bernam River Headworks,83.4,87.9,73.2,82.7,94.2,87.9,86.6,88.1,85.2,86.8,81.8,88.0
Rantau Panjang,81.0,83.9,81.8,81.7,85.5,85.4,88.9,81.9,82.1,78.9,84.2,82.9
North Hummock,75.9,85.3,88.2,81.4,82.8,86.1,85.0,84.5,80.3,84.8,87.2,76.7
Batang Kali,92.1,92.2,89.6,91.2,87.6,78.6,85.0,80.7,79.4,81.4,90.2,90.2
Kuala Kubu Baru,94.8,94.6,93.5,94.3,93.7,93.1,94.2,89.1,93.5,95.5,91.8,94.5
Kalumpang,94.3,94.8,93.4,91.8,92.7,94.9,93.1,93.0,96.3,92.4,95.3,96.0
Sungai Selisek,84.3,91.0,76.6,87.0,87.4,86.5,85.1,85.7,87.7,90.8,86.4,85.6
Sungai Dusun,89.2,91.9,90.0,91.0,91.4,87.9,88.5,89.6,89.7,94.8,89.9,93.8
Sungai Tengi,91.3,90.3,95.1,91.9,92.3,90.5,92.5,91.6,94.6,90.7,92.8,93.6
Wangsa Maju,73.7,74.5,67.1,74.4,71.8,71.4,71.5,74.3,73.7,75.6,78.8,78.1
Bukit Nanas,77.6,90.7,87.8,83.7,68.7,78.1,73.8,71.3,78.9,75.0,74.0,75.2
Sungai Batu,73.4,85.0,87.3,83.7,87.1,87.2,81.7,87.2,86.8,84.7,74.4,79.6
Sungai Gombak,95.5,92.9,90.8,92.6,92.4,92.8,91.9,93.1,91.1,93.7,94.0,92.6
Ampang Intake,94.4,94.5,84.4,86.9,89.5,92.7,91.4,94.1,91.7,94.9,95.7,92.7
Sungai Rangkap,92.7,94.1,95.7,94.7,95.1,93.4,86.9,92.3,94.1,95.7,92.8,94.5
Kepong,94.9,94.3,91.8,93.6,93.2,94.5,92.2,93.5,93.7,94.3,95.7,94.1
Sungai Rumput,92.6,91.2,88.9,92.0,90.6,93.2,91.3,92.5,90.5,93.8,93.9,93.3
Sungai Selangor Fasa 1,81.9,78.8,76.5,86.2,79.8,87.9,86.7,78.7,85.1,82.2,79.8,77.0
Sungai Selangor Fasa 2 Stream C,82.3,81.7,80.7,85.9,80.9,88.7,77.5,82.4,79.7,80.5,86.6,84.6
Sungai Selangor Fasa 3,75.4,82.7,65.6,81.0,85.6,77.2,77.2,73.0,85.5,77.0,84.8,84.8
Rasa,84.5,84.2,88.2,84.2,85.6,87.7,86.5,80.0,77.9,91.5,82.2,91.2
Bukit Tampoi,91.9,87.1,84.4,84.4,83.4,76.1,91.4,79.7,91.9,83.7,89.8,88.0
Salak Tinggi,79.4,86.8,79.3,72.2,72.9,64.6,68.8,68.2,77.3,76.0,74.4,73.1
Sungai Semenyih,81.6,79.9,77.2,80.1,81.7,80.7,72.1,74.3,79.0,81.0,82.8,83.5
Sungai Labu,88.0,87.8,82.3,81.0,80.1,79.9,82.9,86.6,87.3,86.8,86.8,85.2
Semenyih 2,88.4,82.4,83.8,83.1,88.0,81.7,79.5,89.3,91.3,91.0,85.2,82.2
Labohan Dagang,88.7,84.4,88.7,87.4,92.1,87.5,93.9,92.1,80.3,87.2,89.5,91.4
Sungai Langat,91.3,94.8,87.6,94.5,94.8,90.6,90.2,93.5,91.0,91.3,93.1,91.7
Cheras Batu 11,91.0,84.3,89.8,83.1,88.0,86.7,82.3,80.5,85.9,89.2,91.3,78.9
Sungai Pangsoon,93.9,95.3,94.8,95.0,93.5,93.4,92.1,91.9,96.6,93.9,84.7,93.5
Sungai Lolo,92.3,91.4,95.4,93.4,93.7,93.9,93.3,92.0,94.9,89.7,85.7,92.3
Sungai Serai,92.9,94.8,95.0,94.5,94.8,94.8,92.6,92.4,95.0,90.9,86.2,95.9
Langat 2,92.9,89.8,90.8,93.0,92.7,90.8,91.1,90.7,93.6,87.9,92.1,91.2
Intake Semantan (Langat 2),90.4,90.2,91.2,91.3,88.7,90.2,93.3,92.0,91.6,86.7,89.6,86.8
