Chemical Name,Correct Grouping
Activated Carbon,Adsorption
Activated Carbon (25kg / bag),Adsorption
Activated Carbon (500kg / 1000kg per bag),Adsorption
Aluminium Chlorohydrate,Coagulant
Aluminium Chlorohydrate (bulk),Coagulant
Chloride of Lime (50kg / drum),Disinfectant
Citric Acid (25kg / carboy),Auxiliary Chemical
Flopam AH 912 PWG,Polyelectrolyte
Flopam AH 912 PWG (25kg / bag),Polyelectrolyte
Flopam FA 920 PWG,Polyelectrolyte
Flopam FA 920 PWG (25kg / bag),Polyelectrolyte
Flopam FL 4520 PWG,Polyelectrolyte
Flopam FL 4520 PWG (210kg / drum),Polyelectrolyte
Flopam FO 4190 PWG,Polyelectrolyte
Flopam FO 4190 PWG (25kg / bag),Polyelectrolyte
Flopam FO 4290 PWG,Polyelectrolyte
Flopam FO 4290 PWG (25kg / bag),Polyelectrolyte
Hydrated Lime,pH Adjuster
Hydrated Lime (1000kg / bag),pH Adjuster
Hydrated Lime (25kg / bag),pH Adjuster
Hydrated Lime (Intermediate),pH Adjuster
Hydrated Lime (Post),pH Adjuster
Hydrated Lime (Post) (mg/L),pH Adjuster
Hydrated Lime (Powder),pH Adjuster
Hydrated Lime (powder) (Bulk),pH Adjuster
Hydrated Lime (Powder) (Interm,pH Adjuster
Hydrated Lime (Powder) (Post),pH Adjuster
Hydrated Lime (Powder) (Intermediate),pH Adjuster
Hydrated Lime (Powder) (Pre),pH Adjuster
Hydrated Lime (Pre),pH Adjuster
Hydrated Lime (Pre) (mg/L),pH Adjuster
Kibbled Aluminium Sulphate,Coagulant
Kibbled Aluminium Sulphate (50kg / bag),Coagulant
Liquid Aluminium Sulphate,Coagulant
Liquid Aluminium Sulphate (Bulk),Coagulant
Liquid Chlorine,Disinfectant
Liquid Chlorine (68kg / Cylinder),Disinfectant
Liquid Chlorine (930kg / drum),Disinfectant
Liquid Chlorine (Intermediate),Disinfectant
Liquid Chlorine (Post),Disinfectant
Liquid Chlorine (Post) (mg/L),Disinfectant
Liquid Chlorine (Pre),Disinfectant
Liquid Chlorine (Pre) (mg/L),Disinfectant
Liquid Polyaluminium Chloride,Coagulant
Liquid Polyaluminium Chloride (25kg / carboy),Coagulant
Liquid Polyaluminium Chloride (Bulk),Coagulant
Liquid Polyaluminium Chloride (mg/L),Coagulant
Microsand,Auxiliary Chemical
Microsand (1000kg / bag),Auxiliary Chemical
Modified Liquid Alum,Coagulant
Modified Liquid Alum (Bulk),Coagulant
Oxalic Acid (25kg / bag),Auxiliary Chemical
Polyelectrolyte AN 910 PWG,Polyelectrolyte
Polymer Tianfloc C3080,Polyelectrolyte
Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Polyelectrolyte
Potassium Permanganate,Auxiliary Chemical
Potassium Permanganate (50kg / drum),Auxiliary Chemical
Soda Ash,pH Adjuster
Soda Ash (25kg / bag),pH Adjuster
Soda Ash (Post),pH Adjuster
Soda Ash (Pre),pH Adjuster
Sodium Aluminosilicate,Auxiliary Chemical
Sodium Aluminosilicate (25kg / bag),Auxiliary Chemical
Sodium Aluminosilicate (500kg / bag OR 100kg /bag),Auxiliary Chemical
Sodium Fluoride,Flouridation
Sodium Hydroxide (Min 10% - 15%) (Bulk OR 25kg / carboy),pH Adjuster
Sodium Hydroxide (Min 48%) (Bulk OR 25kg / carboy),pH Adjuster
Sodium Hypochlorite,Disinfectant
Sodium Hypochlorite (25kg / carboy),Disinfectant
Sodium Meta Bisulphite (25kg / carboy),Auxiliary Chemical
Sodium Silico Fluoride,Flouridation
Sodium Silico Fluoride (mg/L),Flouridation
Superfloc C 591 PWG,Polyelectrolyte
Superfloc C 591 PWG (210kg / drum),Polyelectrolyte
Superfloc N300 PWG (25kg / drum),Polyelectrolyte
