Lembangan,Loji Rawatan Air,WTP Name,wtp,Water Source,Design Capacity (MLD)
Sg Bernam,Kalumpang,Kalumpang,Kalumpang,River,6.7
Sg Bernam,Sungai Selisek,Sungai Selisek,Sungai Selisek,River,1.3
Sg Bernam,Bernam River Headworks,BRH,Bernam River Headworks (New),River,65.6
Sg Bernam,Bernam River Headworks,BRH,Bernam River Headworks (Old),River,65.6
Sg Bernam,Sungai Dusun,Sungai Dusun,Sungai Dusun,River,1.3
Sg Bernam,Sungai Sireh,Sungai Sireh,Sungai Sireh,River,27
Sg Tengi,Sungai Tengi,Sungai Tengi,Sungai Tengi,River,1.3
Sg Buloh,North Hummock,North Hummock,North Hummock,Dam,22.5
Sg Selangor,Batang Kali,Batang Kali,Batang Kali,River,20.3
Sg Selangor,Kuala Kubu Bharu,Kuala Kubu Bharu,Kuala Kubu Bharu,River,6.7
Sg Selangor,Rantau Panjang,Rantau Panjang,Rantau Panjang New,River,31.5
Sg Selangor,Rantau Panjang,Rantau Panjang,Rantau Panjang Old,River,31.5
Sg Klang,Bukit Nanas,Bukit Nanas,Bukit Nanas,Dam,145
Sg Klang,Wangsa Maju,Wangsa Maju,Wangsa Maju,Dam,45
Sg Klang,Sungai Gombak,Sungai Gombak,Sungai Gombak,River,22.5
Sg Klang,Sungai Rumput,Sungai Rumput,Sungai Rumput,River,2.3
Sg Klang,Sungai Batu,Sungai Batu,Sungai Batu,Dam,113.7
Sg Klang,Ampang Intake,Ampang Intake,Ampang Intake,River,18
Sg Klang,Kepong,Kepong,Kepong,River,4.5
Sg Selangor,Sungai Rangkap,Sungai Rangkap,Sungai Rangkap,River,9
Sg Selangor,Sungai Selangor Fasa 2,SSP2,Sungai Selangor Fasa 2 Stream C,River,950
Sg Langat,Sungai Lolo,Sungai Lolo,Sungai Lolo - Baru,River,2.9
Sg Langat,Sungai Pangsoon,Sungai Pangsoon,Sungai Pangsoon,River,1.8
Sg Langat,Sungai Serai,Sungai Serai,Sungai Serai,River,0.9
Sg Langat,Sungai Langat,Sungai Langat,Sungai Langat,River,386
Sg Langat,Cheras Batu 11,Cheras Batu 11,Cheras Batu 11,River,27
Sg Langat,Sungai Semenyih,Sungai Semenyih,Sungai Semenyih,River,545
Sg Langat,Semenyih 2,Semenyih 2,Semenyih 2,ORS,100
Sg Langat,Bukit Tampoi,Bukit Tampoi,Bukit Tampoi New,River,31.5
Sg Langat,Salak Tinggi,Salak Tinggi,Salak Tinggi,River,10.8
Sg Langat,Sungai Labu,Sungai Labu,Sungai Labu,ORS,105
Sg Langat,Labohan Dagang,Labohan Dagang,Labohan Dagang,ORS,200
Sg Semantan,Langat 2,Langat 2,Langat 2,River,1130
Sg Selangor,Sungai Selangor Fasa 1,SSP1,Sungai Selangor Fasa 1,River,950
Sg Selangor,Sungai Selangor Fasa 3,SSP3,Sungai Selangor Fasa 3 Stage 1,River,800
Sg Selangor,Rasa,Rasa,Rasa,River,250
Sg Selangor,Sungai Selangor Fasa 3,SSP3,Sungai Selangor Fasa 3 Stage 2,River,800
Sg Selangor,Sungai Selangor Fasa 2,SSP2,Sungai Selangor Fasa 2 Stream D,River,950
