Feature,Kibbled Aluminium Sulphate,Flopam FA 920 PWG,Liquid Chlorine,Sodium Silico Fluoride,Liquid Aluminium Sulphate,Soda Ash,
pH,0.173028031,0.178821613,0.240398137,0.238245323,0.194698039,0.497004122,
Turbidity,0.219396866,0.103787784,0.075265624,0.09926288,0.048835301,0.071851626,
Color,0.150678418,0.199686435,0.196040392,0.190594795,0.399867375,0.117107527,
Iron,0.256455538,0.239697106,0.217901605,0.178282265,0.142506993,0.216469214,
Ammonia,0.105237534,0.143195383,0.206598615,0.245754719,0.172414481,0.047647505,
Manganese,0.095203614,0.134811678,0.063795626,0.047860019,0.041677811,0.049920006,
,,,,,,,
Feature,Hydrated Lime,Liquid Polyaluminium Chloride,Flopam FO 4290 PWG,Microsand,Liquid Polyaluminium Chloride (mg/L),Raw Water Polyelectrolyte 4290 PWG / 4190 PWG / AN910 (mg/L),Sodium Silico Fluoride (mg/L)
pH,0.166457767,0.11527164,0.178273124,0.173746205,0.285809315,0.345026809,0.246029159
Turbidity,0.065196357,0.075768523,0.057220946,0.111505635,0.062821599,0.042390249,0.066305016
Color,0.25702636,0.29658535,0.383434993,0.292502035,0.195086993,0.124127863,0.245478043
Iron,0.176364931,0.094527332,0.153541554,0.159637493,0.171935233,0.178405108,0.158009318
Ammonia,0.184633329,0.3714036,0.185823523,0.166804201,0.248451742,0.270055599,0.251439425
Manganese,0.150321255,0.046443555,0.04170586,0.095804431,0.035895118,0.039994371,0.032739038
