wtp,WGI vs Unit Cost Correlation
Sungai Selangor Fasa 2 Stream C,-0.907207207
Sungai Selangor Fasa 1,-0.865415938
Langat 2,-0.859794278
Sungai Gombak,-0.842752063
Sungai Sireh,-0.746817794
Kuala Kubu Bharu,-0.685450959
Kepong,-0.627173281
North Hummock,-0.61503856
Sungai Labu,-0.613679793
Sungai Dusun,-0.55692023
Sungai Langat,-0.53101442
Sungai Tengi,-0.475618584
Sungai Pangsoon,-0.435665634
Rasa,-0.425192443
Kalumpang,-0.392356838
Sungai Semenyih,-0.335985123
Sungai Lolo - Baru,-0.271061464
Batang Kali,-0.190954109
Ampang Intake,-0.130043307
Wangsa Maju,-0.127512222
Semenyih 2,-0.123386113
Sungai Rangkap,-0.117033559
Rantau Panjang New,-0.105418338
Bukit Nanas,-0.103411283
Sungai Selisek,-0.088180041
Sungai Rumput,-0.080882196
Sungai Batu,-0.07165093
Labohan Dagang,-0.048467469
Cheras Batu 11,-0.046128901
Sungai Serai,0.083878011
Bukit Tampoi New,0.293693236
Bernam River Headworks (Old),0.296462194
Salak Tinggi,0.417170877
Bernam River Headworks (New),
Rantau Panjang Old,
Sungai Selangor Fasa 3,
