,wtp,corr_wgi_unit,corr_wqi_unit
0,Batang Kali,-0.03762012261285061,-0.26179951474295043
1,Kuala Kubu Bharu,-0.6548381532983231,-0.1831004987775825
2,Rantau Panjang New,-0.14109533243465877,-0.17401765963730353
3,Rantau Panjang Old,,
4,Rasa,-0.30881598715664754,-0.2962603178014634
5,Sungai Rangkap,-0.20709808812656494,0.08432379034847184
6,Sungai Selangor Fasa 1,-0.7995440361748364,0.2385016960084578
7,Sungai Selangor Fasa 2 Stream C,-0.745035068615765,0.026807436463762616
8,Sungai Selangor Fasa 2 Stream D,-0.7450350686157807,0.1559162114925563
9,Sungai Selangor Fasa 3 Stage 1,,
10,Sungai Selangor Fasa 3 Stage 2,,
